time,S,I,R
97.9,0.11028261872650617,0.001794826536622192,0.8879225547368716
98.0,0.1104475283707635,0.0017895635173671269,0.8877629081118694
98.10000000000001,0.11061242427806078,0.0017843347623825241,0.8876032409595568
98.2,0.11077730631463617,0.0017791400597775115,0.8874435536255864
98.30000000000001,0.1109421743472141,0.0017739791993543281,0.8872838464534316
98.4,0.11110702824300163,0.0017688519725945874,0.8871241197844039
98.5,0.11127186786968496,0.0017637581726456645,0.8869643739576692
98.60000000000001,0.11143669309542598,0.0017586975943072111,0.8868046093102668
98.7,0.11160150378885851,0.0017536700340177896,0.8866448261771237
98.80000000000001,0.11176629981908505,0.0017486752898416354,0.8864850248910733
98.9,0.11193108105567318,0.0017437131614555376,0.8863252057828713
99.0,0.11209584736865202,0.0017387834501358392,0.8861653691812121
99.10000000000001,0.11226059862850894,0.0017338859587455598,0.8860055154127455
99.2,0.11242533470618596,0.0017290204917216336,0.8858456448020925
99.30000000000001,0.11259005547307636,0.001724186855062265,0.8856857576718614
99.4,0.11275476080102129,0.0017193848563144011,0.8855258543426644
99.5,0.1129194505623063,0.001714614304561318,0.8853659351331324
99.60000000000001,0.11308412462965803,0.0017098750104103213,0.8852060003599317
99.7,0.11324878287624073,0.0017051667859805592,0.8850460503377787
99.80000000000001,0.11341342517565292,0.0017004894448909471,0.8848860853794561
99.9,0.11357805140192409,0.0016958428022482033,0.8847261057958277
100.0,0.11374266142951128,0.0016912266746349938,0.8845661118958538
100.10000000000001,0.11390725513329578,0.0016866408800981845,0.8844061039866061
100.2,0.11407183238857978,0.001682085238137204,0.8842460823732831
100.30000000000001,0.11423639307108313,0.0016775595696925099,0.8840860473592244
100.4,0.11440093705693997,0.001673063697134162,0.8839259992459259
100.5,0.11456546422269549,0.0016685974442504998,0.8837659383330541
100.60000000000001,0.11472997444530263,0.0016641606362369239,0.8836058649184605
100.7,0.11489446760211883,0.0016597530996847788,0.8834457792981965
100.80000000000001,0.11505894357090278,0.0016553746625703396,0.8832856817665269
100.9,0.11522340222981123,0.0016510251542438967,0.8831255726159449
101.0,0.11538784345739567,0.001646704405418943,0.8829654521371855
101.10000000000001,0.1155522671325992,0.001642412248161457,0.8828053206192394
101.2,0.11571667313475328,0.001638148515879288,0.8826451783493675
101.30000000000001,0.11588106134357458,0.0016339130433116326,0.8824850256131138
101.4,0.11604543163916176,0.001629705666518613,0.8823248626943196
101.5,0.11620978390199231,0.0016255262228709478,0.8821646898751367
101.60000000000001,0.11637411801291943,0.001621374551039716,0.8820045074360409
101.7,0.11653843385316885,0.001617250490986218,0.881844315655845
101.80000000000001,0.1167027313043357,0.001613153883951926,0.8816841148117124
101.9,0.11686701024838138,0.0016090845724485276,0.8815239051791701
102.0,0.11703127056763046,0.0016050424002480607,0.8813636870321215
102.10000000000001,0.1171955121447676,0.0016010272123731376,0.8812034606428594
102.2,0.1173597348628344,0.0015970388550872593,0.8810432262820784
102.30000000000001,0.11752393860522632,0.0015930771758852166,0.8808829842188883
102.4,0.11768812325568977,0.001589142023483583,0.8807227347208266
102.5,0.11785228869831876,0.0015852332478112875,0.88056247805387
102.60000000000001,0.11801643481755208,0.00158135070000028,0.8804022144824477
102.7,0.11818056149817019,0.0015774942323762793,0.8802419442694536
102.80000000000001,0.11834466862529218,0.0015736636984496055,0.8800816676762583
102.9,0.11850875608437275,0.0015698589529060964,0.8799213849627212
103.0,0.11867282376119923,0.0015660798515981069,0.8797610963872027
103.10000000000001,0.11883687154188852,0.0015623262515355903,0.8796008022065759
103.2,0.11900089931288416,0.0015585980108772622,0.8794405026762385
103.30000000000001,0.11916490696095332,0.0015548949889218433,0.8792801980501248
103.4,0.11932889437318382,0.0015512170460993842,0.8791198885807168
103.5,0.1194928614369812,0.0015475640439626675,0.8789595745190562
103.60000000000001,0.1196568080400657,0.0015439358451786902,0.8787992561147556
103.7,0.11982073407046942,0.001540332313520223,0.8786389336160104
103.80000000000001,0.11998463941653328,0.0015367533138574462,0.8784786072696094
103.9,0.12014852396690417,0.0015331987121496638,0.8783182773209463
104.0,0.12031238761053199,0.0015296683754370919,0.878157944014031
104.10000000000001,0.12047623023666675,0.001526162171832722,0.8779976075915006
104.2,0.12064005173485567,0.0015226799705142604,0.8778372682946302
104.30000000000001,0.12080385199494034,0.0015192216417161388,0.8776769263633436
104.4,0.12096763090705376,0.001515787056721601,0.8775165820362247
